law_enforcement_agency,cause,armed
San Antonio Police Department,Gunshot,Knife
Birmingham Police Department,Gunshot,No
Yavapai County SheriffÃ_Ã_Â»s Office,Gunshot,No
Ontario Police Department,Gunshot,Firearm
Baltimore County Police Department,Gunshot,Firearm
Riverside County Sheriff's Department and California Highway Patrol,Gunshot,Firearm
Garland Police Department,Gunshot,No
Hackensack Police Department,Gunshot,Knife
Cottonwood Police Department,Gunshot,Firearm
Tulsa County Sheriff's Office,Gunshot,Firearm
Eagar Police Department and Apache County Sheriff's Office,Gunshot,Firearm
Pottawatomie County Sheriff's Office,Gunshot,Knife
El Paso Police Department,Gunshot,Knife
Phoenix Police Department,Gunshot,Firearm
San Bernardino County Sheriff's Office,Gunshot,Knife
Santa Ana Police Department,Gunshot,No
New Mexico State Police,Gunshot,Vehicle
Onalaska Police Department,Gunshot,No
Maryland State Police,Gunshot,Firearm
New York Police Department,Gunshot,Knife
Long Beach Police Department,Gunshot,Firearm
Tallapoosa County Sheriff's Department,Gunshot,Firearm
San Bernardino County Sheriff's Department,Gunshot,Firearm
Las Vegas Metro Police (Swat),Gunshot,Firearm
Harris County Sheriff's Office,Gunshot,No
US Marshals Service,Gunshot,No
Baltimore Police Department,Death in custody,Firearm
San Diego Police Department,Gunshot,Firearm
Tallahassee Police Department,Gunshot,Firearm
Chatham Police Department,Struck by vehicle,Unknown
Edmond Police Department,Gunshot,Knife
Oklahoma Highway Patrol,Gunshot,No
San Diego County Sheriff's Department,Gunshot,No
Clay County Sheriff's Department,Gunshot,No
Baldwin County Sheriff's Office,Gunshot,Firearm
Oklahoma City Police Department,Gunshot,No
Santa Rosa County Sheriff's Office,Gunshot,Firearm
Lake County Sheriff's Department,Taser,Firearm
Panama City Police Department,Gunshot,Knife
Putnam County Sheriff's Department,Gunshot,No
West Virginia State Police,Gunshot,Firearm
Columbus Police Department,Gunshot,Firearm
Long Beach Police Department,Gunshot,No
Oklahoma City Police Department,Gunshot,Knife
Iuka Police Department,Gunshot,No
Stanford Police Department,Struck by vehicle,No
Bergen County Prosecutor's Department,Struck by vehicle,No
Harris County Attorney's Department,Gunshot,No
Tarboro Police Department and Edgecombe Sheriff's Office,Gunshot,No
St Louis Metropolitan Police Department,Gunshot,Firearm
Alton Police Department,Gunshot,No
Orlando Police Department,Gunshot,Firearm
Bay City Police Department,Gunshot,Knife
Saint Lucie County Sheriff's Office,Gunshot,Firearm
Gastonia Police Department,Gunshot,Firearm
Salt Lake City Police Department,Gunshot,Firearm
Palestine Police Department,Gunshot,No
North Charleston Police Department,Gunshot,Knife
Moffat County Sheriff's Office and Colorado Parks and Wildlife Law Enforcement,Gunshot,No
Orleans County Sheriff's Office,Gunshot,Firearm
Memphis Police Department,Gunshot,Other
Pettis County Sheriff's Office,Gunshot,Firearm
Napa Police Department,Gunshot,Firearm
Tulsa Police Department,Struck by vehicle,Vehicle
Medford Police Department,Gunshot,Non-lethal firearm
Northglenn Police Department,Gunshot,Firearm
US Marshals Service,Gunshot,Vehicle
US Border Patrol,Gunshot,Firearm
Charlotte-Mecklenburg Police Department,Gunshot,Firearm
Ocala Police Department,Gunshot,No
New Orleans Police Department,Gunshot,Other
New Mexico State Police and US Marshals Service,Gunshot,No
New Jersey State Police,Struck by vehicle,No
Sampson County Sheriff's Office,Gunshot,Knife
Baltimore County Police Department,Gunshot,Firearm
Ceres Police Department,Gunshot,Knife
Columbus Division of Police,Gunshot,Unknown
Fort Lauderdale Police Department,Gunshot,Unknown
Bakersfield Police Department,Gunshot,Firearm
Greensville County Sheriff's Office and Virginia State Police,Gunshot,Other
Chicago Police Department,Gunshot,No
Whitley County Sheriff's Department and Kentucky State Police,Death in custody,Firearm
West Valley City Police Department and Draper Police Police Department,Gunshot,No
Rockdale County Sheriff's office,Gunshot,Firearm
Hawaii Police Department,Struck by vehicle,Firearm
Tampa Bay Police Department [US Marshals Service Task Force],Gunshot,No
Johnsonville Police Department and Florence County Sheriff's Department (Swat),Gunshot,Firearm
Tallahassee Police Department,Gunshot,Vehicle
"Columbus Police Department, Ohio State Highway Patrol",Gunshot,No
South Carolina State Law Enforcement Division,Gunshot,No
Catasauqua Police Department,Gunshot,Knife
Pennsylvania State Police,Gunshot,Firearm
Denver Police Department,Gunshot,Firearm
Tucson Police Department,Gunshot,Firearm
FBI,Gunshot,Firearm
England Police Department,Gunshot,Firearm
Waco Police Department,Gunshot,No
"Tempe, Chandler and Mesa Police Departments [US Marshals Service Task Force]",Gunshot,Other
Nashville Metropolitan Police Department,Gunshot,Firearm
Boulder City Police Department,Gunshot,No
Mississippi Gaming Commission,Gunshot,Firearm
Sarasota Police Department,Unknown,Other
Billings Police Department,Gunshot,Firearm
Albuquerque Police Department,Gunshot,Firearm
Wichita Police Department,Gunshot,Knife
Riverside County Sheriff's Department,Gunshot,Firearm
Anchorage Police Department,Gunshot,Knife
Maricopa Police Department,Gunshot,Firearm
Summit County Sheriff's Office,Gunshot,Firearm
New York Police Department,Gunshot,No
San Bernardino Police Department,Gunshot,Firearm
Lonoke County Sheriff's Office and Arkansas Department of Community Correction,Gunshot,Knife
Arlington Police Department,Death in custody,No
Port St Joe Police Department,Gunshot,No
Levelland Police Department,Gunshot,No
Fairfield Police Department,Gunshot,Disputed
California Department of Corrections and Rehabilitation,Gunshot,Firearm
Green Bay Police Department,Gunshot,Firearm
Rosemont Police Department,Gunshot,Firearm
Orange County Sheriff's Office,Gunshot,Firearm
Choctaw County Sheriff's Office and Hugo Police Department,Gunshot,Firearm
Gwinnett County Sheriff's Department,Gunshot,Firearm
Highland Police Department,Death in custody,Knife
Glendale Police Department,Gunshot,Firearm
Sunnyvale Police Department,Gunshot,Firearm
Mesa Police Department,Gunshot,Knife
Lynn County Sheriff's Office,Gunshot,Knife
